name,hostname,borough,neighbourhood,roomtype,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
Huge 2 BR Upper East  Cental Park,Sing,Manhattan,East Harlem,Entire home/apt,190,7,0,2,249
Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Williamsburg,Entire home/apt,299,3,9,1,0
CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,Park Slope,Private room,130,2,130,6,347
CBG Helps Haiti Room#2.5,Lisel,Brooklyn,Park Slope,Private room,80,1,39,6,364
CBG Helps Haiti Rm #2,Lisel,Brooklyn,Park Slope,Private room,110,2,71,6,304
"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,2,233
Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,Windsor Terrace,Private room,60,1,19,2,85
Magnifique Suite au N de Manhattan - vue Cloitres,Claude & Sophie,Manhattan,Inwood,Private room,80,4,0,1,0
Midtown Pied-a-terre,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,1,75
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,Inwood,Private room,44,3,108,3,311
Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,East Village,Entire home/apt,180,14,29,1,67
front room/double bed,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,242,3,355
Spacious 1 bedroom in luxe building,Teri,Manhattan,Harlem,Private room,52,2,88,1,255
Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,Greenpoint,Private room,55,4,197,3,284
back room/bunk beds,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,273,3,359
Large B&B Style rooms,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,2,269
"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,South Slope,Private room,89,4,168,3,340
Clean and Quiet in Brooklyn,Vt,Brooklyn,Bedford-Stuyvesant,Private room,35,60,0,1,365
Cute apt in artist's home,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,2,22
Country space in the city,Harriet,Brooklyn,Flatbush,Private room,150,1,0,1,365
LowerEastSide apt share shortterm 1,Ben,Manhattan,Lower East Side,Shared room,40,1,214,4,188
ENJOY Downtown NYC!,Edward,Manhattan,East Village,Private room,68,2,245,2,96
Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,1,345
1bdr w private bath. in lofty apt,Yolande,Brooklyn,Fort Greene,Private room,120,7,25,1,311
West Side Retreat,Cyn,Manhattan,Upper West Side,Private room,135,4,81,1,273
BEST BET IN HARLEM,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,1,309
Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,150,29,11,1,95
"1 Stop fr. Manhattan! Private Suite,Landmark Block",Orestes,Queens,Long Island City,Private room,130,3,248,1,215
Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,1,265
bright and stylish duplex,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,1,0
Fort Greene brownstone ,Alexander,Brooklyn,Fort Greene,Private room,80,3,135,2,192
Blue Room for 2 in Brownstone for $1350 monthly,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,3,251
Cozy 1BD on Central Park West in New York City,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,1,302
* ORIGINAL BROOKLYN LOFT *,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,1,140
Greenpoint Place...Has It All! ,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,1,234
Beautiful Apartment in Manhattan!!!,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,1,257
Williamsburg 1 bedroom Apartment,Joanna,Brooklyn,Williamsburg,Entire home/apt,150,30,105,1,30
"Great Location, Manhattan Bedroom!",Bianca,Manhattan,Lower East Side,Private room,110,5,19,1,301
Best Location in NYC! TIMES SQUARE!,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,2,294
Room in Greenpoint Loft w/ Roof,Andrea,Brooklyn,Greenpoint,Private room,49,4,138,3,320
**Bright Nolita Apt w Doorman/Elevators/Gym**,Ted,Manhattan,SoHo,Entire home/apt,180,30,21,1,154
"Very, very cozy place",Cristina,Brooklyn,Williamsburg,Private room,80,2,42,1,263
Sunny & Spacious Chelsea Apartment,Petra,Manhattan,Chelsea,Entire home/apt,375,180,5,1,180
2 bedroom - Upper East Side-great for kids,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,2,231
Comfortable 4-bedroom apt in family house.,Dimitri,Brooklyn,Prospect Heights,Entire home/apt,200,30,143,2,297
Double Room w Private Deck Clinton Hill Best Area,Patricia,Brooklyn,Clinton Hill,Private room,55,7,27,2,292
Your Heaven in Hells Kitchen,Mark,Manhattan,Hell's Kitchen,Private room,52,30,191,1,191
Light-filled 2B duplex in the heart of Park Slope!,Sara,Brooklyn,Park Slope,Entire home/apt,225,3,4,1,0
"Sunny, Modern room in East Village!",Reka,Manhattan,East Village,Private room,80,1,338,2,72
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1,362
Large Room in Amazing East Village Apt,Casey,Manhattan,East Village,Private room,99,1,106,2,336
SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,1,215
Lovely EV Artist's Home,Anna,Manhattan,East Village,Entire home/apt,230,9,49,1,116
Cool Room in Hell's Kitchen,Enzo,Manhattan,Hell's Kitchen,Private room,51,7,23,1,88
"HARLEM, NEW YORK WELCOMES YOU!!",Tye And Etienne,Manhattan,Washington Heights,Private room,65,2,49,2,336
BLUE TRIM GUEST HOUSE,George,Brooklyn,Clinton Hill,Private room,105,2,105,1,304
Charming East Village One Bedroom Flat,Josh,Manhattan,East Village,Entire home/apt,190,5,21,1,224
Manhattan Room,Victoria,Manhattan,Upper East Side,Private room,200,1,142,1,322
Little King of Queens,Justin,Queens,Woodside,Private room,70,30,25,1,324
Fort Greene Retreat on the Park,Blaise,Brooklyn,Fort Greene,Private room,95,3,143,1,132
Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,Private room,150,3,167,1,295
Cozy 2 BR in Williamsburg ,Lulú,Brooklyn,Williamsburg,Private room,145,3,61,4,238
Spacious luminous apt Upper West NYC,Sybilla,Manhattan,Harlem,Entire home/apt,110,31,54,1,209
Entire 2 Bedroom - Large & Sunny,JoLynn,Manhattan,Lower East Side,Entire home/apt,285,5,70,1,328
"Sunny, Spacious Top Floor Haven",Gaia,Brooklyn,Flatbush,Entire home/apt,130,6,16,1,38
Private room Great Deal at Lower East Side,Ana,Manhattan,Lower East Side,Private room,94,30,94,1,188
perfect for a family or small group,Maggie,Brooklyn,Brooklyn Heights,Entire home/apt,800,1,25,1,7
2 bedroom Williamsburg Apt - Bedford L stop,Starlee,Brooklyn,Williamsburg,Entire home/apt,105,3,61,1,272
Oh glorious spring!,Edward,Manhattan,East Village,Private room,60,3,194,1,26
Great Location for NYC,Pas,Manhattan,East Village,Private room,50,1,2,1,0
Cozy Bedroom in Williamsburg 3 BR,Lulú,Brooklyn,Williamsburg,Private room,85,3,174,4,288
Sunny room+Pvte office in huge loft,Augustin,Brooklyn,Bushwick,Private room,65,4,24,1,317
Spacious Prospect Heights Apartment,Sean & Lynette,Brooklyn,Prospect Heights,Entire home/apt,131,4,166,1,207
"Large Parlor Room, Landmark Home 1 block to PRATT",Erica,Brooklyn,Clinton Hill,Private room,98,7,16,6,185
2-bed brownstone duplex + garden,Tracy,Brooklyn,Prospect Heights,Entire home/apt,250,7,21,1,158
Charming 1 bed GR8 WBurg LOCATION!,Christiana,Brooklyn,Williamsburg,Entire home/apt,100,5,168,1,0
Sunny Apartment in Artist Home,Tyrome,Brooklyn,Bushwick,Entire home/apt,105,3,118,2,9
Light-filled classic Central Park ,Dana,Manhattan,Upper West Side,Entire home/apt,140,3,81,1,198
"Upper Manhattan, New York",Elliott,Manhattan,Harlem,Private room,89,1,1,1,365
COZY QUIET room 4 DOOGLERS!,Olan,Manhattan,Chelsea,Private room,98,30,30,2,364
The Stuydio Modern and Light Filled,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,7,139,2,311
loft bed - near transportation-15min to times sq,Ssameer Or Trip,Manhattan,Harlem,Private room,60,3,11,3,219
House On Henry (3rd FLR Suite),Annette,Brooklyn,Carroll Gardens,Entire home/apt,175,2,233,3,342
Monkey Retreat Manhattan,Meka,Manhattan,Washington Heights,Private room,65,2,68,1,312
2000 SF 3br 2bath West Village private  townhouse,Ann,Manhattan,West Village,Entire home/apt,500,4,46,2,243
"Williamsburg—Steps To Subway, Private Bath&Balcony",Seth,Brooklyn,Williamsburg,Private room,101,3,335,1,152
Beautiful Duplex Apartment,Brenda,Brooklyn,Park Slope,Entire home/apt,220,30,88,1,9
Large 2 Bedroom Great for Groups!,Shelly,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,90,162,2,137
"Modern Brooklyn Apt., August sublet",Erik,Brooklyn,Williamsburg,Entire home/apt,80,30,29,1,222
"1,800 sq foot in luxury building",Dena,Manhattan,Harlem,Private room,100,2,170,1,346
Sunny 2-story Brooklyn townhouse w deck and garden,Jessica,Brooklyn,Gowanus,Entire home/apt,200,30,19,1,208
"Times Square, Safe, Clean and Cozy!",Luiz,Manhattan,Hell's Kitchen,Private room,59,2,334,2,279
"Cozy Room #3, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Clinton Hill,Private room,125,2,19,6,250
Beautiful Apartment East Village,Sally,Manhattan,East Village,Entire home/apt,140,7,12,1,164
Park Slope Green Guest House,Dani,Brooklyn,South Slope,Entire home/apt,120,30,467,2,192
2 BR / 2 Bath Duplex Apt with patio! East Village,Bruce,Manhattan,East Village,Entire home/apt,350,2,7,4,298
NYC fabulous views Manhattan's eye,Nimo,Manhattan,Kips Bay,Entire home/apt,199,5,38,1,260
2 story family home in Williamsburg,Alexandra,Brooklyn,Williamsburg,Entire home/apt,325,3,324,1,107
Comfortable UWS 2-BD Family-Friendly Brownstone,Stacy,Manhattan,Upper West Side,Entire home/apt,235,6,27,1,199
Great Large 1 BR apt  in East Village!,Bruce,Manhattan,East Village,Entire home/apt,225,1,115,4,299
Eveland Private Bed & Living Room w/ Own Entrance,Evelyn,Brooklyn,South Slope,Private room,99,2,354,3,20
Sugar Hill Rest Stop ,Emma,Manhattan,Harlem,Entire home/apt,170,2,195,1,318
3 Story Town House in Park Slope,Vero,Brooklyn,South Slope,Entire home/apt,400,2,16,2,216
apartment next to Central park,Sylvie,Manhattan,Upper West Side,Entire home/apt,170,7,13,1,224
East Village Sanctuary,Jen,Manhattan,East Village,Entire home/apt,100,4,25,1,0
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Kay,Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,9,1,324
Modern Apt with Spectacular Views,Jo,Brooklyn,Williamsburg,Private room,90,1,9,1,245
Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,Entire home/apt,150,5,21,1,189
Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Washington Heights,Private room,85,15,36,1,307
B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,3,63,2,310
ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Harlem,Entire home/apt,120,3,155,3,213
Sunny Room in New Condo,Chris,Brooklyn,Clinton Hill,Private room,89,3,260,1,278
Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,East Village,Entire home/apt,185,5,73,1,209
NYC artists’ loft with roof deck,Sol,Brooklyn,Greenpoint,Private room,50,3,193,1,0
Unique & Charming small 1br Apt. LES,Cs,Manhattan,Lower East Side,Entire home/apt,105,3,32,1,16
Most Central Location!,Lara,Manhattan,Hell's Kitchen,Private room,130,2,50,3,234
Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,Entire home/apt,115,29,26,1,12
Sanctuary in East Flatbush,Sunder,Brooklyn,Flatlands,Private room,77,2,2,1,178
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,Private room,76,2,426,3,275
FLAT MACDONOUGH,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,3,227,2,163
Huge Private  Floor at The Waverly,Sahr,Brooklyn,Clinton Hill,Private room,135,4,84,3,365
"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Greenpoint,Entire home/apt,250,29,3,1,34
"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Williamsburg,Entire home/apt,199,3,10,1,280
"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,1,0
Fully Furnished Basement Apartment,Fredah,Queens,Flushing,Private room,140,2,1,1,1
FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,2,170
Light filled Williamsburg Apartment,Katherine,Brooklyn,Williamsburg,Entire home/apt,160,3,11,1,188
Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,Entire home/apt,195,4,240,1,214
NYC Zen,Paula,Manhattan,East Village,Entire home/apt,195,3,30,1,248
Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Williamsburg,Private room,80,3,200,4,262
Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,Private room,44,8,27,5,280
Sun Filled Classic West Village Apt,Karen,Manhattan,West Village,Private room,156,4,79,1,307
Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,Private room,85,15,9,1,339
Classic Artist Loft Williamsburg,White,Brooklyn,Williamsburg,Private room,125,3,155,1,1
Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,1,269
Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,Private room,69,2,34,1,10
"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,Entire home/apt,225,45,134,1,312
Great location in Williamsburg,Viviana,Brooklyn,Williamsburg,Entire home/apt,125,6,27,1,189
Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Upper East Side,Entire home/apt,219,4,126,2,290
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,1,230
CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Upper East Side,Entire home/apt,99,1,234,2,164
Indie-Chic Share In Williamsburg,Gus,Brooklyn,Williamsburg,Private room,69,4,202,2,53
"A room w/ a Manhattan view, longer stay",Myung,Queens,Sunnyside,Private room,79,30,28,1,126
"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2,3
Luxurious Condo in DUBMO with View,Henry,Brooklyn,DUMBO,Private room,250,3,14,1,189
Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Upper East Side,Entire home/apt,250,3,4,1,365
* Spacious GARDEN Park Slope Duplex* 6 people max,Syl,Brooklyn,Gowanus,Entire home/apt,250,2,80,1,0
Convenient cozy cheap apt Manhattan,Lorenzo,Manhattan,Harlem,Entire home/apt,80,3,2,1,0
Parlor Room In Victorian Townhouse,Waldemar,Brooklyn,Clinton Hill,Private room,70,2,294,3,336
House On Henry (2nd FLR Suite),Annette,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,3,342
New York room with a view,Newyorkroomwithaview,Staten Island,St. George,Private room,70,2,166,1,312
Sunny cozy room in Brklyn townhouse,Tessa,Brooklyn,Bushwick,Private room,50,2,47,1,37
Room with a View,Waundell,Bronx,Highbridge,Private room,40,1,219,3,353
Light+Open+Airy+Rustic+Modern Loft,Young,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1,177
West Inn 2 - East Village,Bruce,Manhattan,East Village,Private room,125,1,84,4,310
Financial District Luxury Loft,Coral,Manhattan,Financial District,Entire home/apt,196,3,114,1,0
BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Fort Greene,Private room,110,2,213,2,321
Your own Lovely West Village Studio,Sara,Manhattan,West Village,Entire home/apt,170,3,86,1,246
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Laurine,Manhattan,Harlem,Entire home/apt,165,3,80,3,231
Greenwich Village Stylish Apartment,Myrna,Manhattan,West Village,Entire home/apt,150,26,38,1,225
Clean and Cozy Harlem Apartment,Campbell,Manhattan,Harlem,Entire home/apt,100,2,18,1,0
"Fort Greene, Brooklyn: Center Bedroom",Doug,Brooklyn,Fort Greene,Private room,65,2,206,2,0
Beautiful Queens Brownstone! - 5BR,Mark,Queens,Ridgewood,Entire home/apt,350,8,10,5,365
Couldn't Be Closer To Columbia Uni,Rahul,Manhattan,Morningside Heights,Private room,99,4,122,2,233
Bright Spacious Luxury Condo,Miyoung,Brooklyn,Williamsburg,Entire home/apt,200,4,33,1,1
Park Slope haven 15 mins from Soho,Monica,Brooklyn,Park Slope,Entire home/apt,150,5,52,1,18
SAFE  AND BEAUTIFUL ACCOMODATION,Marylyn,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,4,343
Large Room in private Brownstone in Park Slope,Kathleen R.,Brooklyn,Prospect Heights,Private room,120,3,51,3,250
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Teresa,Manhattan,Upper East Side,Private room,75,3,199,1,326
"LARGE, COMFY 1BDR W/CHARACTER!!!",Robert,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,1,364
Chelsea Studio sublet 1 - 2 months,Alex,Manhattan,Chelsea,Entire home/apt,125,3,3,1,0
LUX APT IN TIMES SQUARE NEW BUILDING,Claudia,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,1,299
Designer 1 BR Duplex w/ Terrace- Spectacular Views,Shane,Manhattan,Lower East Side,Entire home/apt,299,2,109,1,207
Lovely Apt & Garden;  Legal;  Best Area; Amenities,Laurie,Brooklyn,South Slope,Entire home/apt,135,5,151,3,162
1 Bedroom in 2 Bdrm Apt- Upper East,Jessica,Manhattan,Upper East Side,Private room,130,14,0,2,0
Lower East Side $57~/night,Erina,Manhattan,Lower East Side,Private room,83,1,285,1,7
Prime Location in Manhattan,Lee,Manhattan,Chelsea,Private room,123,1,375,1,328
( F) Excellent/Pvt Rm,Jullett,Queens,Jamaica,Private room,55,2,52,2,365
"Quiet, sunny Midtown Manhattan apt.",Marlaine,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1,0
Big Room/Washer-Dryer/Wifi/AC/JMZ,Charlotte,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,1,0
cozy studio with parking spot,Mark,Queens,Middle Village,Entire home/apt,98,30,33,5,240
Clean and convenient 2BR apartment,Mark,Queens,Ridgewood,Private room,140,7,6,5,365
3 floors of luxury!,Mark,Queens,Middle Village,Entire home/apt,265,7,38,5,365
The Institute—Heart of Williamsburg,Bob,Brooklyn,Williamsburg,Entire home/apt,249,2,358,2,164
MIDTOWN WEST - Large alcove studio,Anka,Manhattan,Hell's Kitchen,Shared room,105,6,10,1,363
Beautiful Uptown Manhattan apartmnt,Douglas,Manhattan,Harlem,Private room,200,30,0,1,365
Sml Rm in pr Brst  Park Sl great for Med/students,Kathleen R.,Brooklyn,Prospect Heights,Private room,100,2,226,3,250
City Room - Private Penthouse Apt.,Wayne,Manhattan,Harlem,Entire home/apt,121,1,104,5,247
Cozy bedroom by Yankee Stadium,Waundell,Bronx,Highbridge,Private room,45,1,138,3,323
Great apartment with private bathroom and entrance,Jenny,Manhattan,East Harlem,Private room,100,5,204,1,192
Private Garden Apt • New Renovation,Paul,Brooklyn,Williamsburg,Entire home/apt,140,2,253,1,125
Modern comfort in art infused landmark Brownstone,Tami,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,1,91
"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",Jason,Manhattan,NoHo,Private room,130,2,115,1,75
Sleek & Comfortable Soho Apt,Pete,Manhattan,West Village,Entire home/apt,199,5,129,1,286
Spacious Williamsburg Share w/ LOFT BED,Gus,Brooklyn,Williamsburg,Private room,69,4,82,2,60
Cozy 2 br in sunny Fort Greene apt,Sally,Brooklyn,Fort Greene,Private room,68,3,37,1,0
Cozy East Village Railroad 1 Bed!,Leonardo,Manhattan,East Village,Entire home/apt,130,1,204,1,192
1 Bedroom Loft w/ Private Roof Deck,Alex,Brooklyn,Greenpoint,Entire home/apt,195,2,69,1,58
City Room - Private & Comfy Bedroom,Wayne,Manhattan,Harlem,Private room,64,1,192,5,245
Elegant NYC Pad,Vasili,Queens,Ditmars Steinway,Entire home/apt,140,2,17,1,292
"Clean & bright 1BR in Cobble Hill, GREAT location!",S.M.,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,1,279
"Modern, Large East Village Loft",Ori,Manhattan,East Village,Entire home/apt,189,3,205,1,0
"Great new apt, close to everything",Ana,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,1,3
Quiet & Clean Retreat in the City,I,Manhattan,East Village,Entire home/apt,239,3,7,1,351
Stylish Large Gramercy Loft!,R,Manhattan,Flatiron District,Entire home/apt,305,2,108,1,201
The Brownstone-Luxury 1 Bd Apt/NYC,Simon,Manhattan,Harlem,Entire home/apt,155,3,222,2,232
PRIVATE Room on Historic Sugar Hill,Agnes,Manhattan,Harlem,Private room,60,1,458,2,258
South Slope Green,Linda,Brooklyn,Windsor Terrace,Private room,135,2,21,1,272
"17 Flr. Manhattan Views, Nr. Subway",Dave,Manhattan,Roosevelt Island,Private room,120,7,17,1,341
"Spacious 1BR, Adorable Clean Quiet",Drica,Manhattan,Lower East Side,Entire home/apt,150,3,41,1,244
"Nice, clean, safe, convenient 3BR",Mark,Queens,Ridgewood,Entire home/apt,140,14,1,5,365
Franklin St Flat in Trendy Greenpoint Brooklyn,Betty,Brooklyn,Greenpoint,Entire home/apt,135,2,69,1,12
"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",Ricardo & Ashlie,Manhattan,Chinatown,Entire home/apt,250,4,18,2,265
One bedroom Apt. in NYC,Leslie,Manhattan,Midtown,Entire home/apt,250,30,82,1,0
"Beautiful, elegant 3 bed SOHO loft",Harrison,Manhattan,SoHo,Entire home/apt,500,4,94,1,329
Spacious Greenwich Village Apt,Jessica,Manhattan,Greenwich Village,Entire home/apt,225,5,10,1,91
SpaHa Studio Monthly Rental,Blanca,Manhattan,East Harlem,Entire home/apt,125,28,183,2,365
City Room - Private Luxury Suite,Wayne,Manhattan,Harlem,Private room,92,1,189,5,253
Private Room/bath Luxurious Harlem,Cynthia,Manhattan,Harlem,Private room,175,2,1,1,365
The gem of the East Village,Mich,Manhattan,East Village,Entire home/apt,99,2,127,1,320
"Bright and spacious, garden below!",Rachel,Manhattan,Upper West Side,Entire home/apt,195,4,4,1,0
ACCOMMODATIONS GALORE #2,Laurine,Manhattan,East Harlem,Entire home/apt,140,3,135,3,192
Colorful Private One Bedroom Apt,Greta,Manhattan,Little Italy,Entire home/apt,135,2,21,1,0
Huge Chelsea Loft,Frank,Manhattan,Chelsea,Entire home/apt,500,2,35,1,348
Great room in great location,Bethania,Manhattan,Harlem,Private room,80,14,10,2,0
Exclusive Room with Private Bath in  LES,Tunji,Manhattan,Chinatown,Private room,120,4,171,2,353
"Quiet, clean midtown apt w. elevato",Anna/Fonzy,Manhattan,Midtown,Entire home/apt,110,200,92,1,140
BK Sweet Suite w/Kitchen&FullBath,Colette&Sean,Brooklyn,East Flatbush,Entire home/apt,65,3,238,1,2
Great East Village Apartment Rental,Brie,Manhattan,East Village,Entire home/apt,130,50,56,1,56
BROWNSTONE SUNDRENCHED BEAUTY,Sheila,Brooklyn,Bushwick,Entire home/apt,99,3,111,1,68
A SpeciaL!! Private Room in NY,Lissette,Staten Island,Tompkinsville,Private room,36,2,193,6,360
B NYC Staten Alternative...,Lissette,Staten Island,Tompkinsville,Private room,37,2,147,6,0
C Private Room By The Ferry,Lissette,Staten Island,Tompkinsville,Private room,37,2,177,6,320
Smallest House In The Village,Olivia,Manhattan,East Village,Entire home/apt,175,3,185,2,326
Beautiful modern studio apartment in heart of NYC,Daniel,Manhattan,Chelsea,Entire home/apt,205,9,62,2,76
Beautiful Landmarked Duplex,Maya,Brooklyn,Greenpoint,Entire home/apt,285,3,124,3,279
BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,Scott,Brooklyn,Williamsburg,Private room,59,2,181,2,15
D Private Che@p Room 2 Explore NYC,Lissette,Staten Island,Tompkinsville,Private room,36,2,333,6,340
Safe cute near subway& Manhattan NY NY retro style,Dennis & Naoko,Queens,Astoria,Entire home/apt,99,5,441,1,226
Large and Cozy Private Bedroom,Antonín,Brooklyn,Kensington,Private room,39,1,45,2,365
Small tidy bedroom in duplex,Emily,Brooklyn,Park Slope,Private room,60,14,9,2,0
LL3,Carol Gloria,Bronx,Clason Point,Private room,90,2,0,7,349
DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,Vie,Bronx,Eastchester,Entire home/apt,105,2,38,13,365
"Private, Large & Sunny Top Floor Apt  w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2,11
Cottage in the Village,Olivia,Manhattan,East Village,Entire home/apt,390,5,143,2,316
BEDROOM1 FOR RENT 10min from Manhan,Helene,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,4,281
